Product,Product Url,Img,Price,Old Price,Specs,Status
Laptop gaming ASUS ROG Zephyrus G16 GU605MV QR196W,https://gearvn.com/products/laptop-gaming-asus-rog-zephyrus-g16-gu605mv-qr196w,https://product.hstatic.net/200000722513/product/ava_799e170d97bb43f3b2cf15beb8b78635.png,64.990.000₫,67.990.000₫,"CPU: Intel® Core™ Ultra 9 Processor 185H 2.3 GHz (24MB Cache, up to 5.1 GHz, 16 cores, 22 Threads); Intel® AI Boost NPU|| RAM: 32GB (2x16GB) Onboard LPDDR5X 7467MHz (Dual channel, Không nâng cấp được)|| Ổ lưu trữ: 1TB PCIe® 4.0 NVMe™ M.2 SSD (2 slot, support M.2 2280 PCIe 4.0x4)|| Card đồ họa: NVIDIA® GeForce RTX™ 4060 8GB GDDR6ROG Boost: 2345MHz* at 100W (2295MHz Boost Clock+50MHz OC, 85W+15W Dynamic Boost)|| Màn hình: 16"" WQXGA (2560 x 1600) 16:10, 240Hz/0.2ms, OLED, 100% DCI-P3 %, 500 NITS, G-Sync, Support Dolby Vision HDR, Glossy display, Pantone Validated, ROG Nebula Display|| Bàn phím: Backlit Chiclet Keyboard 1-Zone RGB|| Audio: 4-speaker system with Smart Amplifier Technology, Dolby Atmos|| Đọc thẻ nhớ: Card reader (SD) (UHS-II, 312MB/s)|| LAN: 10/100/1000/Gigabits Base T|| Wifi: Wi-Fi 6E(802.11ax) (Triple band) (2x2)|| Bluetooth: Bluetooth 5.3 (Dual band) 2*2|| Webcam: 1080P FHD IR Camera for Windows Hello|| Hệ điều hành: Windows 11 Home|| Pin: 4 Cell 90WHr|| Trọng lượng: 1.85 kg|| Màu sắc: Platinum White|| Kích thước: 35.4 x 24.6 x 1.49 ~ 1.64 cm",MUA NGAYGiao tận nơi hoặc nhận tại cửa hàng
Laptop gaming ASUS ROG Zephyrus G16 GU603VU N4019W,https://gearvn.com/products/laptop-gaming-asus-rog-zephyrus-g16-gu603vu-n4019w,https://product.hstatic.net/200000722513/product/ava_71ae6b0dd03d4e4eae3e358c60ffb1b5.png,40.990.000₫,44.990.000₫,"CPU: Intel® Core™ i7-13620H Processor 2.4 GHz (24M Cache, up to 4.9 GHz, 10 cores: 6 P-cores and 4 E-cores)|| RAM: 16GB DDR4-3200Mhz Onboard (1 x Sodimm slot trống, nâng cấp tối đa 48GB) || Ổ lưu trữ: 512GB PCIe 4.0 NVMe™ M.2 SSD (Trống 1 slot SSD NVMe M.2)|| Card đồ họa: NVIDIA® GeForce RTX™ 4050 Laptop GPU 6GB GDDR6ROG Boost: 1460MHz* tại 150W (Tăng tốc xung nhịp 1410MHz +50MHz OC, 125W+25W Dynamic Boost), MUX Switch|| Màn hình: 16-inch QHD+ 16:10 (2560 x 1600, WQXGA) 240Hz IPS-level, 500nits, DCI-P3    100%, Anti-glare display, G-Sync, Pantone Validated, ROG Nebula Display|| Bàn phím: Backlit Chiclet Keyboard 1-Zone RGB|| Audio: 4-speaker system with Smart Amplifier Technology, Dolby Atmos|| Đọc thẻ nhớ: None|| Kết nối có dây (LAN): 10/100/1000/2500 Mbps|| Wifi: Wi-Fi 6E(802.11ax) (Triple band) 2*2|| Bluetooth: Bluetooth® 5.3|| Webcam: 720P HD IR Camera for Windows Hello|| Hệ điều hành: Windows 11 Home|| Pin: 4 Cell 90WHrs|| Trọng lượng: 2.0 Kg|| Màu sắc: Eclipse Gray|| Kích thước: 35.5 x 24.3 x 2.05 ~ 2.29 cm",MUA NGAYGiao tận nơi hoặc nhận tại cửa hàng
Laptop gaming ASUS ROG Zephyrus G14 GA403UV QS171W,https://gearvn.com/products/laptop-gaming-asus-rog-zephyrus-g14-ga403uv-qs171w,https://product.hstatic.net/200000722513/product/asus-rog-zephyrus-g14-ga403uv-qs171w_4aef4676f5ef4fddbb5fd6d0c5fec7d5_893500903e1e4b64abc3658d24e73f8e.png,57.990.000₫,58.990.000₫,"CPU: AMD Ryzen™ 9 8945HS (8 cores, 16 threads, 4.0GHz upto 5.2GHz, 16MB Cache)|| RAM: 32GB (16x2) LPDDR5X 6400MHz Onboard (Không nâng cấp được)|| Ổ lưu trữ: 1TB PCIe® 4.0 NVMe™ M.2 SSD (1 slot, nâng cấp thay thế)|| Card đồ họa: NVIDIA® GeForce RTX™ 4060 Laptop GPU ROG Boost: 1940MHz* at 90W (1890MHz Boost Clock+50MHz OC, 65W+25W Dynamic Boost)|| Màn hình: 14"" 3K (2880 x 1800) 16:10, OLED, 120Hz/0.2ms, DCI-P3: 100%, Pantone Validated, Glossy display, 500nits, G-Sync / Adaptive-Sync, Dolby vision, ROG Nebula Display|| Bàn phím: Backlit Chiclet Keyboard 1-Zone RGB|| Audio: 4-speaker (dual force woofer) system with Smart Amplifier Technology, 2 Tweeters, Dolby Atmos Software|| Đọc thẻ nhớ: Card reader (microSD) (UHS-II)|| LAN: None|| Wifi: Wi-Fi 6E(802.11ax) (Triple band) (2x2)|| Bluetooth: v5.3|| Webcam: 1080P FHD IR Camera for Windows Hello|| Hệ điều hành: Windows 11 Home|| Pin: 4 Cell 73WHr|| Trọng lượng: 1.5 kg|| Màu sắc: Eclipse Gray|| Kích thước: 31.1 x 22.0 x 1.59 ~ 1.63 (cm)",MUA NGAYGiao tận nơi hoặc nhận tại cửa hàng
Laptop gaming ASUS ROG Zephyrus G14 GA403UV QS170W,https://gearvn.com/products/laptop-gaming-asus-rog-zephyrus-g14-ga403uv-qs170w,https://product.hstatic.net/200000722513/product/ava_556d317224ff468ab3bdf74784f7e5a2.png,57.990.000₫,58.990.000₫,"CPU: AMD Ryzen™ 9 8945HS (8 cores, 16 threads, 4.0GHz upto 5.2GHz, 16MB Cache)|| RAM: 32GB (16x2) LPDDR5X 6400MHz Onboard (Không nâng cấp được)|| Ổ lưu trữ: 1TB PCIe® 4.0 NVMe™ M.2 SSD (1 slot, nâng cấp thay thế)|| Card đồ họa: NVIDIA® GeForce RTX™ 4060 Laptop GPU ROG Boost: 1940MHz* at 90W (1890MHz Boost Clock+50MHz OC, 65W+25W Dynamic Boost)|| Màn hình: 14"" 3K (2880 x 1800) 16:10, OLED, 120Hz/0.2ms, DCI-P3: 100%, Pantone Validated, Glossy display, 500nits, G-Sync / Adaptive-Sync, Dolby vision, ROG Nebula Display|| Bàn phím: Backlit Chiclet Keyboard 1-Zone RGB|| Audio: 4-speaker (dual force woofer) system with Smart Amplifier Technology, 2 Tweeters, Dolby Atmos Software|| Đọc thẻ nhớ: Card reader (microSD) (UHS-II)|| LAN: None|| Wifi: Wi-Fi 6E(802.11ax) (Triple band) (2x2)|| Bluetooth: v5.3|| Webcam: 1080P FHD IR Camera for Windows Hello|| Hệ điều hành: Windows 11 Home|| Pin: 4 Cell 73WHr|| Trọng lượng: 1.5 kg|| Màu sắc: Platinum White|| Kích thước: 31.1 x 22.0 x 1.59 ~ 1.63 (cm)",MUA NGAYGiao tận nơi hoặc nhận tại cửa hàng
Laptop gaming ASUS TUF Gaming F15 FX507VV LP181W,https://gearvn.com/products/laptop-gaming-asus-tuf-gaming-f15-fx507vv-lp181w,https://product.hstatic.net/200000722513/product/ava_7212f6eeef2741bdb1f2d1e1e3260479.png,32.990.000₫,36.990.000₫,"CPU: Intel® Core™ i7-13620H Processor 2.4 GHz (24M  Cache, up to 4.9 GHz, 10 cores: 6 P-cores and 4 E-cores)|| RAM: 32GB (2x16GB) DDR5 4800MHz (2x SO-DIMM socket, up to 32GB SDRAM)|| Ổ cứng: 512GB PCIe® 4.0 NVMe™ M.2 SSD (2230) (Còn trống 1 khe SSD M.2 PCIE)|| Card đồ họa: NVIDIA® GeForce RTX™ 4060 8GB GDDR6, Up to 2420MHz* at 140W (2370MHz Boost Clock+50MHz OC, 115W+25W Dynamic Boost)|| Màn hình: 15.6"" FHD (1920 x 1080) IPS, 144Hz, Wide View, 250nits, Narrow Bezel, Non-Glare with 72% NTSC, 100% sRGB, 75.35% Adobe RGB, G-Sync|| Cổng giao tiếp: 1x Thunderbolt™ 4 support DisplayPort™1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery / G-SYNC2x USB 3.2 Gen 1 Type-A1x RJ45 LAN port1x HDMI 2.1 FRL1x 3.5mm Combo Audio Jack|| Audio: 2-speaker system, Dolby Atmos|| Bàn phím: Backlit Chiclet Keyboard RGB|| Chuẩn LAN: 10/100/1000/Gigabits Base T|| Chuẩn WIFI: 802.11AX (2X2)|| Bluetooth: v5.2|| Webcam: HD 720p|| Hệ điều hành: Windows 11 Home|| Pin: 4 Cell 90WHr|| Trọng lượng: 2.2 kg|| Màu sắc: Jaeger Gray|| Kích thước: 35.4 x 25.1 x 2.24 ~ 2.49 cm",MUA NGAYGiao tận nơi hoặc nhận tại cửa hàng
Laptop gaming ASUS ROG Strix G16 G614JVR N4141W,https://gearvn.com/products/laptop-gaming-asus-rog-strix-g16-g614jvr-n4141w,https://product.hstatic.net/200000722513/product/gearvn-laptop-gaming-asus-rog-strix-g16-g614jvr-n4141w-1_dbee91f37eca4edba2a7b4ef30a395ef.png,44.990.000₫,52.990.000₫,"CPU: Intel® Core™ i9 14900HX (2.2 GHz up to 5.8 GHz, 24 cores 32 threads, 4M Cache)|| RAM: 32GB (2x16GB) DDR5 5600MHz (2x SO-DIMM socket, nâng cấp tối đa 32GB)|| Ổ lưu trữ: 512GB PCIe® 4.0 NVMe™ M.2 SSD (2 slot M.2 SSD)|| Card đồ họa: NVIDIA® GeForce RTX™ 4060 8GB GDDR6 ROG Boost: 2420MHz* at 140W (2370MHz Boost Clock+50MHz OC, 115W+25W Dynamic Boost)|| Màn hình: 16"" WQXGA (2560 x 1600) 16:10 IPS 2.5K, 240Hz, 3ms, 100% DCI-P3, Anti-Glare, G-Sync, đạt chuẩn Pantone, ROG Nebula Display|| Bàn phím: Backlit Chiclet Keyboard Per-Key RGB|| Audio: 2-speaker system with Smart Amplifier Technology, Dolby Atmos|| Đọc thẻ nhớ: None|| Kết nối có dây (LAN): 10/100/1000 Mbps|| Kết nối không dây: Wi-Fi 6E(802.11ax) (Triple band) 2*2|| Bluetooth: Bluetooth 5.3|| Webcam: 720P HD camera|| Hệ điều hành: Windows 11 Home|| Pin: 4 Cell 90WHrs|| Trọng lượng: 2.5 kg|| Màu sắc: Eclipse Gray|| Kích thước: 35.4 x 26.4 x 2.26 ~ 3.04 cm",MUA NGAYGiao tận nơi hoặc nhận tại cửa hàng
Laptop gaming ASUS TUF Gaming A15 FA506NC HN011W,https://gearvn.com/products/laptop-gaming-asus-tuf-gaming-a15-fa506nc-hn011w,https://product.hstatic.net/200000722513/product/gearvn-laptop-gaming-asus-tuf-gaming-a15-fa506nc-hn011w-1_52969cded26148e2839786f10bb8b40f.jpg,17.790.000₫,21.990.000₫,"CPU: AMD Ryzen™ 5 7535HS Processor 3.3GHz (19MB Cache, up to 4.55 GHz, 6 cores, 12 Threads)|| RAM: 8GB DDR5 4800MHz (2x SO-DIMM socket, up to 32GB SDRAM)|| Ổ cứng: 512GB PCIe® 4.0 NVMe™ M.2 SSD (Còn trống 1 khe SSD M.2 PCIE)|| Card đồ họa: NVIDIA® GeForce RTX 3050 4GB GDDR6|| Màn hình: 15.6"" FHD (1920 x 1080) IPS, 144Hz, Wide View, 250nits, Narrow Bezel, Non-Glare with 45% NTSC, 63% sRGB, Adaptive-Sync|| Cổng giao tiếp: 1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery / G-SYNC2x USB 3.2 Gen 1 Type-A1x RJ-45 LAN1x HDMI 2.1 FRL1x COMBO audio jack1x Type C USB 4 support DisplayPort™ / G-SYNC|| Audio: 2-speaker system, DTS software|| Bàn phím: Backlit Chiclet Keyboard 1-Zone RGB|| Chuẩn LAN: 10/100/1000 Mbps|| Chuẩn WIFI: Wi-Fi 6(802.11ax) (2x2)|| Bluetooth: v5.3|| Webcam: HD 720p|| Hệ điều hành: Windows 11 Home|| Pin: 4 Cell 48WHrs|| Trọng lượng: 2.3 kg|| Màu sắc: Graphite Black|| Kích thước: 35.9 x 25.6 x 2.28 ~ 2.45 cm (14.13"" x 10.08"" x 0.90"" ~ 0.96"")",MUA NGAYGiao tận nơi hoặc nhận tại cửa hàng
Laptop gaming ASUS ROG Zephyrus G16 GU605MI QR116W,https://gearvn.com/products/laptop-gaming-asus-rog-zephyrus-g16-gu605mi-qr116w,https://product.hstatic.net/200000722513/product/ava_f0728ce44ca44066a8a1ee40aec15159.png,73.990.000₫,79.990.000₫,"CPU: Intel® Core™ Ultra 9 processor 185H 2.3GHz up to 5.1GHz 24MB|| RAM: 32GB (16x2) Onboard LPDDR5X 7467MHz (Không nâng cấp được)|| Ổ lưu trữ: 1TB PCIe® 4.0 NVMe™ M.2 SSD (2 slot, support M.2 2280 PCIe 4.0x4)|| Card đồ họa: NVIDIA® GeForce RTX™ 4070 8GB GDDR6 With ROG Boost: 2105MHz* at 105W (2055MHz Boost Clock+50MHz OC, 85W+20W Dynamic Boost)|| Màn hình: 16"" WQXGA (2560 x 1600) 16:10 240Hz/0.2ms, OLED, 100% DCI-P3 %, 500NITS, GSync, Support Dolby Vision HDR, Glossy display, Pantone Validated, ROG Nebula Display|| Bàn phím: Backlit Chiclet Keyboard 1-Zone RGB|| Audio: 4-speaker system with Smart Amplifier Technology, Dolby Atmos|| Đọc thẻ nhớ: Card reader (SD) (UHS-II, 312MB/s)|| LAN: 10/100/1000/Gigabits Base T|| Wifi: Wi-Fi 6E(802.11ax) (Triple band) (2x2)|| Bluetooth: Bluetooth 5.3 (Dual band) 2*2|| Webcam: 1080P FHD IR Camera for Windows Hello|| Hệ điều hành: Windows 11 Home|| Pin: 4 Cell 90WHr|| Trọng lượng: 1.85 kg|| Màu sắc: Eclipse Gray|| Kích thước: 35.4 x 24.6 x 1.49 ~ 1.64 cm",MUA NGAYGiao tận nơi hoặc nhận tại cửa hàng
Laptop gaming ASUS ROG Zephyrus G14 GA403UU QS101W,https://gearvn.com/products/laptop-gaming-asus-rog-zephyrus-g14-ga403uu-qs101w,https://product.hstatic.net/200000722513/product/gearvn-laptop-gaming-asus-rog-zephyrus-g14-ga403uu-qs101w-1_1b6423887ce2463081ee5125705b1f0f.png,52.990.000₫,54.990.000₫,"CPU: AMD Ryzen™ 9 8945HS (8 cores, 16 threads, 4.0GHz upto 5.2GHz, 16MB Cache)|| RAM: 32GB (16x2) LPDDR5X 6400MHz Onboard (Không nâng cấp được)|| Ổ lưu trữ: 512GB PCIe® 4.0 NVMe™ M.2 SSD (1 slot nâng cấp thay thế)|| Card đồ họa: NVIDIA® GeForce RTX™ 4050 6GB GDDR6 With ROG Boost: 2105MHz* at 90W (2055MHz Boost Clock+50MHz OC, 65W+25W Dynamic Boost)|| Màn hình: 14"" 3K (2880 x 1800) 16:10, OLED, 120Hz/0.2ms, DCI-P3: 100%, Pantone Validated, Glossy display, 500nits, G-Sync / Adaptive-Sync, Dolby vision, ROG Nebula Display|| Bàn phím: Backlit Chiclet Keyboard 1-Zone RGB|| Audio: 4-speaker (dual force woofer) system with Smart Amplifier Technology, 2 Tweeters, Dolby Atmos Software|| Đọc thẻ nhớ: Card reader (microSD) (UHS-II)|| LAN: None|| Wifi: Wi-Fi 6E(802.11ax) (Triple band) (2x2)|| Bluetooth: v5.3|| Webcam: 1080P FHD IR Camera for Windows Hello|| Hệ điều hành: Windows 11 Home|| Pin: 4 Cell 73WHr|| Trọng lượng: 1.5 kg|| Màu sắc: Platinum White|| Kích thước: 31.1 x 22.0 x 1.59 ~ 1.63 (cm)",MUA NGAYGiao tận nơi hoặc nhận tại cửa hàng
Laptop gaming ASUS ROG Zephyrus G16 GU605MV QR135W,https://gearvn.com/products/laptop-gaming-asus-rog-zephyrus-g16-gu605mv-qr135w,https://product.hstatic.net/200000722513/product/ava_b38b31d1dcff4355958dce86cc8d8d1c.png,65.990.000₫,67.990.000₫,"CPU: Intel® Core™ Ultra 9 processor 185H 2.3GHz up to 5.1GHz 24MB|| RAM: 32GB (16x2) Onboard LPDDR5X 7467MHz (Không nâng cấp được)|| Ổ lưu trữ: 1TB PCIe® 4.0 NVMe™ M.2 SSD (2 slot, support M.2 2280 PCIe 4.0x4)|| Card đồ họa: NVIDIA® GeForce RTX™ 4060 8GB GDDR6ROG Boost: 2345MHz* at 100W (2295MHz Boost Clock+50MHz OC, 85W+15W Dynamic Boost)|| Màn hình: 16"" WQXGA (2560 x 1600) 16:10, 240Hz/0.2ms, OLED, 100% DCI-P3 %, 500 NITS, G-Sync, Support Dolby Vision HDR, Glossy display, Pantone Validated, ROG Nebula Display|| Bàn phím: Backlit Chiclet Keyboard 1-Zone RGB|| Audio: 4-speaker system with Smart Amplifier Technology, Dolby Atmos|| Đọc thẻ nhớ: Card reader (SD) (UHS-II, 312MB/s)|| LAN: 10/100/1000/Gigabits Base T|| Wifi: Wi-Fi 6E(802.11ax) (Triple band) (2x2)|| Bluetooth: Bluetooth 5.3 (Dual band) 2*2|| Webcam: 1080P FHD IR Camera for Windows Hello|| Hệ điều hành: Windows 11 Home|| Pin: 4 Cell 90WHr|| Trọng lượng: 1.85 kg|| Màu sắc: Eclipse Gray|| Kích thước: 35.4 x 24.6 x 1.49 ~ 1.64 cm",MUA NGAYGiao tận nơi hoặc nhận tại cửa hàng
Laptop gaming ASUS TUF Gaming A15 FA507NU LP131W,https://gearvn.com/products/laptop-gaming-asus-tuf-gaming-a15-fa507nu-lp131w,https://product.hstatic.net/200000722513/product/14c37b78bc34161b45a87_large_3c00edfcc07d4928b682a0f675620c81_1024x1024_4b66bbc6000e462d8fc9e5f7aec6ea34.png,22.990.000₫,29.490.000₫,"CPU: AMD Ryzen™ 5 7535HS Mobile Processor (6-core/12-thread, 16MB L3 cache, up to 4.5 GHz max boost)|| RAM: 16GB (2x8GB) DDR5 4800MHz (2x SO-DIMM socket, up to 32GB SDRAM)|| Ổ cứng: 1TB PCIe® 4.0 NVMe™ M.2 SSD (2230) (Còn trống 1 khe SSD M.2 PCIE)|| Card đồ họa: NVIDIA® GeForce RTX™ 4050 Laptop GPU 6GB GDDR6, 2420MHz* at 140W (2370MHz Boost Clock+50MHz OC, 115W+25W Dynamic Boost)+ AMD Radeon™ Navi2 Graphics, MUX Switch + NVIDIA® Advanced Optimus|| Màn hình: 15.6"" FHD (1920 x 1080) 16:9 IPS, 144Hz, Wide View, 250nits, Narrow Bezel, Non-Glare with 72% NTSC,  , G-Sync|| Cổng giao tiếp: 1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery / G-SYNC2x USB 3.2 Gen 1 Type-A1x RJ-45 LAN1x HDMI 2.1 FRL1x COMBO audio jac1x Type C USB 4 support DisplayPort™ / G-SYNC|| Audio: Dolby Atmos|| Bàn phím: Backlit Chiclet Keyboard 1-Zone RGB|| Chuẩn LAN: 10/100/1000 Mbps|| Chuẩn WIFI: Wi-Fi 6(802.11ax) (Dual band) 2*2|| Bluetooth: v5.2|| Webcam: HD 720p|| Hệ điều hành: Windows 11 Home|| Pin: 90WHrs, 4S1P, 4-cell Li-ion|| Trọng lượng: 2.2 kg|| Màu sắc: Jaeger Gray|| Kích thước: 35.4 x 25.1 x 2.24 ~ 2.49 cm",MUA NGAYGiao tận nơi hoặc nhận tại cửa hàng
Laptop gaming ASUS TUF Gaming F15 FX507VV LP157W,https://gearvn.com/products/laptop-gaming-asus-tuf-gaming-f15-fx507vv-lp157w,https://product.hstatic.net/200000722513/product/ava_cfd3f083234b42eb9dc55e6c1626e385.png,30.490.000₫,37.490.000₫,"CPU: Intel® Core™ i7-13620H Processor 2.4 GHz (24M  Cache, up to 4.9 GHz, 10 cores: 6 P-cores and 4 E-cores)|| RAM: 16GB (8x2) DDR5 4800MHz (2x SO-DIMM socket, up to 32GB SDRAM)|| Ổ cứng: 512GB PCIe® 4.0 NVMe™ M.2 SSD (2230) (Còn trống 1 khe SSD M.2 PCIE)|| Card đồ họa: NVIDIA® GeForce RTX™ 4060 8GB GDDR6, Up to 2420MHz* at 140W (2370MHz Boost Clock+50MHz OC, 115W+25W Dynamic Boost)|| Màn hình: 15.6"" FHD (1920 x 1080) IPS, 144Hz, Wide View, 250nits, Narrow Bezel, Non-Glare with 72% NTSC, 100% sRGB, 75.35% Adobe RGB, G-Sync|| Cổng giao tiếp: 1x Thunderbolt™ 4 support DisplayPort™1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery / G-SYNC2x USB 3.2 Gen 1 Type-A1x RJ45 LAN port1x HDMI 2.1 FRL1x 3.5mm Combo Audio Jack|| Audio: 2-speaker system, Dolby Atmos|| Bàn phím: Backlit Chiclet Keyboard RGB|| Chuẩn LAN: 10/100/1000/Gigabits Base T|| Chuẩn WIFI: 802.11AX (2X2)|| Bluetooth: v5.2|| Webcam: HD 720p|| Hệ điều hành: Windows 11 Home|| Pin: 4 Cell 90WHr|| Trọng lượng: 2.2 kg|| Màu sắc: Jaeger Gray|| Kích thước: 35.4 x 25.1 x 2.24 ~ 2.49 cm",MUA NGAYGiao tận nơi hoặc nhận tại cửa hàng
Laptop gaming ASUS ROG Strix G18 G814JIR N6007W,https://gearvn.com/products/laptop-gaming-asus-rog-strix-g18-g814jir-n6007w,https://product.hstatic.net/200000722513/product/n6063w_ddee499691624d5db7ef4065910938cd_1024x1024_777bf053ea9a4602b184c9862ae2cd3d.png,60.990.000₫,70.990.000₫,"CPU: Intel® Core™ i9 Processor 14900HX 2.2 GHz (36MB Cache, up to 5.8 GHz, 24 cores, 32 Threads)|| RAM: 32GB (2x16GB) DDR5 4800Mhz (2 khe cắm nâng cấp tối đa 32GB) || Ổ lưu trữ: 1TB PCIe® 4.0 NVMe™ M.2 Performance SSD (Còn trống 1 khe M.2 PCIe Gen4x4)|| Card đồ họa: NVIDIA® GeForce RTX™ 4070 Laptop GPU 8GB GDDR6ROG Boost: 2225MHz* at 140W (2175MHz Boost Clock+50MHz OC, 115W+25W Dynamic Boost)|| Màn hình: 18"" QHD+ 16:10 (2560 x 1600, WQXGA), IPS-level, 240Hz 3ms, Anti-glare display, DCI-P3:100%, Pantone Validated, ROG Nebula Display|| Bàn phím: Backlit Chiclet Keyboard Per-Key RGB|| Audio: Smart Amp TechnologyDolby Atmos|| LAN: 10/100/1000/2500 Mbps|| Wifi: Wi-Fi 6E (802.11ax) (Triple band) 2*2|| Bluetooth: Bluetooth 5.2 (Dual band) 2*2|| Webcam: 720P HD Camera|| Hệ điều hành: Windows 11 Home|| Pin: 90WHrs, 4S1P, 4-cell Li-ion|| Trọng lượng: 3.0 Kg|| Màu sắc: Eclipse Gray|| Kích thước: 39.9 x 29.4 x 2.31 ~ 3.08 cm",MUA NGAYGiao tận nơi hoặc nhận tại cửa hàng
Laptop gaming ASUS ROG Strix SCAR 16 G634JZR NM009W,https://gearvn.com/products/laptop-gaming-asus-rog-strix-scar-16-g634jzr-nm009w,https://product.hstatic.net/200000722513/product/ava_41f9108b82e444429a819429f42796fd.png,98.990.000₫,110.000.000₫,"CPU: Intel® Core™ i9-14900HX 2.2 GHz (36MB Cache, up to 5.8 GHz, 24 cores, 32 Threads)|| RAM: 64GB (2x32GB) DDR5 5600MHz (2x SO-DIMM socket, up to 64GB SDRAM)|| Ổ Cứng: 2TB PCIe® 4.0 NVMe™ M.2 Performance SSD (Còn trống 1 khe M.2 PCIe Gen4x4)|| Card đồ họa: NVIDIA® GeForce RTX™ 4080 12GB GDDR6ROG Boost: 2330MHz* at 175W (2280MHz Boost Clock+50MHz OC, 150W+25W Dynamic Boost)|| Cổng kết nối: 1x 3.5mm Combo Audio Jack1x HDMI 2.1 FRL1x Thunderbolt™ 4 support DisplayPort™ / G-SYNC1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery / G-SYNC2x USB 3.2 Gen 2 Type-A1x 2.5G LAN port|| Bàn phím: Backlit Chiclet Keyboard Per-Key RGB|| Audio: Dolby Atmos, Hi-Res certification, Smart Amp Technology, AI noise-canceling technology|| Lan: 10/100/1000/2500 Mbps|| Wifi + Bluetooth: Wi-Fi 6E(802.11ax) (Triple band) 2*2 + Bluetooth® 5.3 Wireless Card|| Webcam: 720P HD camera|| Hệ điều hành: Windows 11 Home|| Pin: 90WHrs, 4S1P, 4-cell Li-ion|| Trọng lượng: 2.65 kg|| Màu sắc: Off Black|| Kích thước: 35.4 x 26.4 x 2.26 ~ 3.04 cm",MUA NGAYGiao tận nơi hoặc nhận tại cửa hàng
Laptop gaming ASUS ROG Strix SCAR 18 G834JYR R6011W,https://gearvn.com/products/laptop-gaming-asus-rog-strix-scar-18-g834jyr-r6011w,https://product.hstatic.net/200000722513/product/ava_99e875dae6fc4e908edcb725eddcf497.png,117.990.000₫,130.000.000₫,"CPU: Intel® Core™ i9-14900HX 2.2 GHz (36MB Cache, up to 5.8 GHz, 24 cores, 32 Threads)|| RAM: 64GB (2x32GB) DDR5 5600MHz (2x SO-DIMM socket, up to 64GB SDRAM)|| Ổ Cứng: 2TB PCIe® 4.0 NVMe™ M.2 Performance SSD (Còn trống 1 khe M.2 PCIe Gen4x4)|| Card đồ họa: NVIDIA® GeForce RTX™ 4090 16GB GDDR6ROG Boost: 2090MHz* at 175W (2040MHz Boost Clock+50MHz OC, 150W+25W Dynamic Boost)|| Cổng kết nối: 1x 3.5mm Combo Audio Jack1x HDMI 2.1 FRL2x USB 3.2 Gen 2 Type-A1x USB 3.2 Gen 2 Type-C support DisplayPort™ / power delivery / G-SYNC1x 2.5G LAN port1x Thunderbolt™ 4 support DisplayPort™ / G-SYNC|| Bàn phím: Backlit Chiclet Keyboard Per-Key RGB|| Audio: Dolby Atmos, Hi-Res certification, Smart Amp Technology, AI noise-canceling technology|| Lan: 10/100/1000 Base T|| Wifi + Bluetooth: Wi-Fi 6E(802.11ax) (Triple band) 2*2 + Bluetooth® 5.3 Wireless Card|| Webcam: 720P HD camera|| Hệ điều hành: Windows 11 Home|| Pin: 90WHrs, 4S1P, 4-cell Li-ion|| Trọng lượng: 3.1 kg|| Màu sắc: Off Black|| Kích thước: 39.9 x 29.4 x 2.31 ~ 3.08 cm",MUA NGAYGiao tận nơi hoặc nhận tại cửa hàng
